,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,hv_None,hv_email,hv_facebook,hv_google,hv_government_id,hv_identity_manual,hv_jumio,hv_kba,hv_manual_offline,hv_manual_online,hv_offline_government_id,hv_phone,hv_photographer,hv_reviews,hv_selfie,hv_sent_id,hv_work_email,response_few_days,response_few_hours,response_within_day,response_within_hour,host_id,reviews_per_month,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room
0,Marilyn,4702.0,,,0,,1.0,1.0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1147,0.0,0,0,1,0
1,Jack,4538.0,,,0,,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6383,0.14,1,0,0,0
2,Michele,4455.0,,19%,1,,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,12172,4.69,0,0,1,0
3,Diana,4378.0,100%,56%,1,,16.0,16.0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,22296,2.82,0,0,6,1
4,Russ,4299.0,50%,71%,0,,0.0,0.0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,36601,0.24,1,0,1,0
5,Ellen,4286.0,,100%,0,,1.0,1.0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,39713,1.19,1,0,0,0
6,Jaime,4246.0,100%,87%,1,,1.0,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,49635,2.74,1,0,0,0
7,Adam,4163.0,100%,100%,1,North Nashville,6.0,6.0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,72156,15.510000000000002,3,0,4,0
8,Lori,4130.0,,88%,0,,1.0,1.0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,83996,7.01,0,0,1,0
9,Nell,4106.0,100%,100%,1,,1.0,1.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,95811,3.87,0,0,1,0
