,SUB_YEAR_WEEK,Subzone,WEEK,MONTH,YEAR,YEAR_WEEK,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire),SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita,call_ALL_comp,call_Burglary_comp
11823,2018_49_ZONE3C,ZONE3C,49,12,2018,2018_49,19,3,3,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,4,0,0,0,2,0,0,0,0,0,0,34888901.65,52,2395,0.5031315240083507,0.4968684759916493,1411,0.956768249468462,0.8816442239546421,0.0659107016300496,2317,0.2520500647388864,0.0172637030643072,0.0082002589555459,0.0319378506689684,0.0073370738023306,0.7479499352611135,771,1.0,0.1245136186770428,0.3009079118028534,0.0233463035019455,0.0,41,38,42,104883,103516.0,97813,118667,38067,133.0,2.0
11824,2018_49_ZONE5A,ZONE5A,49,12,2018,2018_49,19,6,1,5,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,1,1,5,0,0,1,0,2,1,0,0,0,0,0,0,4,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,2,3,0,0,0,0,0,0,14008567.4,48,2554,0.384494909945184,0.615505090054816,1502,0.9913448735019972,0.9700399467376832,0.0106524633821571,2409,0.3354088833540888,0.0078870900788709,0.0,0.2581984225819842,0.0037359900373599,0.6645911166459112,860,1.0,0.0465116279069767,0.0406976744186046,0.0116279069767441,0.0523255813953488,24,30,23,34549,46625.0,15750,38017,16614,161.0,4.0
11825,2018_49_ZONE4C,ZONE4C,49,12,2018,2018_49,37,6,2,7,11,4,5,4,0,0,0,0,0,0,0,0,0,0,0,39,4,1,5,0,2,8,0,0,1,0,1,1,0,2,0,0,0,0,4,2,1,7,2,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,0,14,4,0,0,0,0,0,0,178708188.2,380,22203,0.4954735846507229,0.5045264153492771,12294,0.9707987636245324,0.8997071742313324,0.057914429803156,21055,0.2895274281643315,0.0208501543576347,0.0170030871526953,0.0765138921871289,0.0102588458798385,0.7104725718356685,7223,0.9436522220683926,0.1067423508237574,0.1363699293922192,0.0107988370483178,0.0192440814066177,33,34,31,58654,62253.0,36146,63319,25579,58.0,0.0
11826,2018_49_ZONE4B,ZONE4B,49,12,2018,2018_49,25,6,4,2,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,9,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,4,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,5,0,0,5,1,0,0,0,0,0,0,160548828.8,339,16874,0.4855398838449686,0.5144601161550314,8880,0.961036036036036,0.840427927927928,0.1059684684684684,16408,0.3171014139444174,0.0132862018527547,0.0310214529497805,0.0662481716235982,0.0166991711360312,0.6828985860555826,5413,0.9628671716238684,0.1117679660077591,0.1431738407537409,0.036024385738038,0.0155181969333087,35,33,37,82487,82696.0,60411,84617,33754,37.0,0.0
11827,2018_49_ZONE7B,ZONE7B,49,12,2018,2018_49,43,8,4,4,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,45,0,0,11,0,0,12,0,0,0,1,4,1,0,1,0,0,0,1,5,2,3,4,3,0,3,0,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,1,4,4,0,0,6,9,0,0,0,0,0,0,71683309.47,227,12162,0.5325604341391219,0.4674395658608781,6062,0.962553612669086,0.8756186077202244,0.0658198614318706,11851,0.3133068939330014,0.0114758248249092,0.0118133490844654,0.0815121086828115,0.0179731668213652,0.6866931060669985,3969,0.9906777525825144,0.0642479213907785,0.1531872008062484,0.0093222474174855,0.019400352733686,35,30,37,60729,82933.0,36029,63865,27667,9.0,0.0
11828,2018_49_ZONE6A,ZONE6A,49,12,2018,2018_49,15,2,4,2,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,0,193950592.3,393,14516,0.4949021769082392,0.5050978230917608,6997,0.9439759897098756,0.8647991996569958,0.0660282978419322,14188,0.2760783760924725,0.0124753312658584,0.0071891739498167,0.0468705948689033,0.0122638849732168,0.7239216239075275,4359,0.9733883918329892,0.1734342739160357,0.3310392291810048,0.0328056893782977,0.0116999311768754,44,41,45,94733,97535.0,61745,114009,41097,8.0,0.0
11829,2018_49_ZONE4A,ZONE4A,49,12,2018,2018_49,11,1,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,21330088.36,91,4901,0.4335849826566006,0.5664150173433993,2571,0.9521586931155192,0.8961493582263711,0.0560093348891481,4643,0.2351927632995907,0.0064613396510876,0.0211070428602196,0.0275683825113073,0.0,0.7648072367004092,1562,0.9891165172855314,0.0800256081946222,0.1209987195902688,0.028809218950064,0.0377720870678617,34,36,32,57029,64716.0,30234,60641,23034,0.0,0.0
11830,2018_49_ZONE3E,ZONE3E,49,12,2018,2018_49,58,12,7,6,7,10,11,8,0,0,0,0,0,0,0,0,0,0,0,61,0,1,7,1,2,14,0,0,0,2,6,2,0,2,1,0,0,0,10,0,1,12,4,3,0,4,3,2,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,6,9,0,0,10,13,0,0,0,0,0,0,85087944.85,270,16443,0.4880496259806605,0.5119503740193395,8145,0.9754450583179864,0.805402087170043,0.0958870472682627,15628,0.5586767340670591,0.0124136165856155,0.0034553365753775,0.4065779370360891,0.0206680317379063,0.4413232659329408,4564,0.9769938650306748,0.0950920245398773,0.1323400525854513,0.0359333917616126,0.0383435582822085,23,23,23,35085,39587.0,62030,58637,15470,125.0,2.0
11831,2018_49_ZONE7C,ZONE7C,49,12,2018,2018_49,9,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,53630347.61,238,8040,0.4782338308457711,0.5217661691542289,3991,0.9501378100726636,0.842144825858181,0.0959659233274868,7621,0.2674189738879412,0.0149586668416218,0.0150898832174255,0.0372654507282508,0.0141713685867996,0.7325810261120588,2452,0.9877650897226754,0.1056280587275693,0.2010603588907014,0.0244698205546492,0.0338499184339314,36,36,36,79633,85153.0,51478,89011,30844,48.0,0.0
11832,2018_49_ZONE6C,ZONE6C,49,12,2018,2018_49,38,5,4,7,4,4,4,9,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,2,3,0,0,1,0,1,0,0,0,1,0,0,0,14,2,0,6,1,1,0,1,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,8,0,0,8,2,0,0,0,0,0,0,83920696.36,176,7759,0.4476092279932981,0.552390772006702,3688,0.9620390455531452,0.8918112798264642,0.0425704989154013,7608,0.2181913774973712,0.0099894847528916,0.0247108307045215,0.0467928496319663,0.0057833859095688,0.7818086225026288,2492,0.9361958266452648,0.184991974317817,0.2929373996789727,0.0465489566613162,0.0232744783306581,38,37,40,48009,47873.0,47555,54849,25295,151.0,1.0
