Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,PredictedBurg,ActualBurg,BurgStatus,BurgStatus2
ZONE1A,2009_1,2009_1_ZONE1A,182,7,14,0,21,49,21,21,196,14,56,14,0,7,14,0,35,0,7,14,0,0,0,0
ZONE1B,2009_1,2009_1_ZONE1B,144,9,18,0,9,63,9,18,153,18,36,0,0,0,0,0,0,0,27,0,0,0,0,0
ZONE1C,2009_1,2009_1_ZONE1C,230,30,10,0,10,80,10,20,260,10,40,20,0,10,0,0,30,0,30,0,0,0,0,0
ZONE1D,2009_1,2009_1_ZONE1D,189,0,18,9,27,63,0,27,189,9,27,18,9,9,18,0,9,0,0,0,0,0,0,0
ZONE2A,2009_1,2009_1_ZONE2A,36,4,0,0,4,12,12,4,36,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0
ZONE2B,2009_1,2009_1_ZONE2B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_1,2009_1_ZONE2D,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ZONE3B,2009_1,2009_1_ZONE3B,4,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ZONE3C,2009_1,2009_1_ZONE3C,36,6,6,0,0,0,0,12,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3D,2009_1,2009_1_ZONE3D,49,7,0,0,0,14,7,0,63,0,14,0,0,0,0,0,14,0,14,0,0,0,0,0
ZONE3E,2009_1,2009_1_ZONE3E,198,6,24,0,42,24,12,36,228,18,30,12,0,6,6,0,24,0,42,0,0,0,0,0
ZONE4B,2009_1,2009_1_ZONE4B,10,3,0,0,1,2,3,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE4C,2009_1,2009_1_ZONE4C,68,32,0,0,0,8,4,8,72,4,4,0,4,0,0,0,20,0,0,0,0,0,0,0
ZONE5A,2009_1,2009_1_ZONE5A,50,0,0,0,5,5,10,15,60,10,10,0,0,0,0,0,10,0,5,0,0,0,0,0
ZONE5B,2009_1,2009_1_ZONE5B,156,30,18,6,12,18,18,30,168,18,30,6,0,0,0,12,12,0,0,0,1,0,0,0
ZONE5C,2009_1,2009_1_ZONE5C,35,0,0,0,10,10,0,15,35,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ZONE5D,2009_1,2009_1_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_1,2009_1_ZONE6A,12,4,2,0,0,2,0,0,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6B,2009_1,2009_1_ZONE6B,18,12,0,0,3,3,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
ZONE6C,2009_1,2009_1_ZONE6C,152,40,8,8,24,32,16,16,152,0,16,0,0,0,8,0,0,0,8,8,0,0,0,0
ZONE7B,2009_1,2009_1_ZONE7B,26,4,2,0,4,4,4,2,26,2,4,0,2,0,0,0,6,0,2,0,0,0,0,0
ZONE7C,2009_1,2009_1_ZONE7C,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE7D,2009_1,2009_1_ZONE7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_10,2009_10_ZONE1A,266,28,7,7,7,91,42,28,280,7,42,0,0,7,7,0,28,0,14,0,2,2,1,1
ZONE1B,2009_10,2009_10_ZONE1B,234,27,9,0,45,27,45,45,261,36,36,0,0,18,0,18,18,0,36,0,2,4,1,1
ZONE1C,2009_10,2009_10_ZONE1C,280,40,0,0,20,50,40,80,320,20,80,0,0,0,20,0,20,0,10,0,0,0,0,0
ZONE1D,2009_10,2009_10_ZONE1D,198,18,18,0,18,45,27,27,198,0,18,0,0,0,0,0,45,0,9,9,3,0,0,0
ZONE2A,2009_10,2009_10_ZONE2A,88,24,4,0,8,12,20,4,100,0,32,0,4,4,4,0,12,0,8,0,0,0,0,0
ZONE2B,2009_10,2009_10_ZONE2B,6,5,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_10,2009_10_ZONE2D,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
