SUB_YEAR_WEEK,SUB_YEAR_WEEK_target,call_ALL_target,call_Burglary_target,WEEK,MONTH,YEAR,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire)
2009_1_ZONE3B,2009_2_ZONE3B,2,0,1,1,2009,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2009_1_ZONE2D,2009_2_ZONE2D,1,0,1,1,2009,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2009_2_ZONE6C,2009_3_ZONE6C,23,2,2,1,2009,24,7,1,3,4,6,2,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,3,0,0,0,1,4,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,8,0,0,3,4,0,0,0,0,0,0
2009_2_ZONE1C,2009_3_ZONE1C,31,3,2,1,2009,34,8,7,2,5,3,1,6,32,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,9,0,0,0,1,0,1,0,0,0,0,1,0,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,7,0,0,4,9,0,0,0,0,0,0
2009_2_ZONE2A,2009_3_ZONE2A,24,6,2,1,2009,12,2,2,3,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0
2009_2_ZONE4B,2009_3_ZONE4B,8,0,2,1,2009,12,3,3,1,1,1,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0
2009_2_ZONE7B,2009_3_ZONE7B,28,1,2,1,2009,21,3,3,2,4,4,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,6,0,0,3,3,0,0,0,0,0,0
2009_2_ZONE4C,2009_3_ZONE4C,18,1,2,1,2009,18,2,2,1,4,5,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0
2009_2_ZONE1B,2009_3_ZONE1B,21,7,2,1,2009,10,1,1,2,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2009_2_ZONE5C,2009_3_ZONE5C,4,0,2,1,2009,10,3,1,1,2,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0
2009_2_ZONE1D,2009_3_ZONE1D,36,2,2,1,2009,30,6,2,3,4,6,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,8,0,1,0,0,3,0,0,0,1,0,1,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,7,0,0,4,4,0,0,0,0,0,0
2009_2_ZONE3D,2009_3_ZONE3D,8,1,2,1,2009,9,2,2,2,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
2009_2_ZONE5B,2009_3_ZONE5B,41,7,2,1,2009,26,3,2,3,10,3,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,8,0,0,0,1,1,0,1,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,9,0,0,2,7,0,0,0,0,0,0
2009_2_ZONE1A,2009_3_ZONE1A,21,2,2,1,2009,41,7,2,2,8,6,7,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,0,2,0,0,3,0,0,0,0,0,0,0,3,1,6,8,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,1,0,0,0,1,0,4,6,1,0,7,9,0,0,0,0,0,0
2009_2_ZONE3C,2009_3_ZONE3C,7,1,2,1,2009,7,2,1,1,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
2009_2_ZONE5A,2009_3_ZONE5A,12,2,2,1,2009,12,2,1,1,2,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,0
2009_2_ZONE3E,2009_3_ZONE3E,64,7,2,1,2009,56,11,1,4,10,11,4,7,48,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,11,0,2,0,0,13,0,0,1,1,0,1,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,1,0,0,0,0,0,8,11,2,0,9,9,0,0,0,0,0,0
2009_2_ZONE6B,2009_3_ZONE6B,7,2,2,1,2009,12,2,1,1,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2009_2_ZONE6A,2009_3_ZONE6A,13,0,2,1,2009,10,4,1,0,1,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2009_2_ZONE2D,2009_3_ZONE2D,9,2,2,1,2009,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_2_ZONE7C,2009_3_ZONE7C,2,0,2,1,2009,5,1,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2009_2_ZONE3B,2009_3_ZONE3B,3,0,2,1,2009,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009_3_ZONE7B,2009_4_ZONE7B,20,3,3,1,2009,28,3,6,4,2,3,5,1,24,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,3,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,9,0,0,1,3,0,0,0,0,0,0
2009_3_ZONE5B,2009_4_ZONE5B,30,0,3,1,2009,41,7,10,4,2,7,5,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,4,0,0,0,3,5,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,7,8,0,0,5,9,0,0,0,0,0,0
2009_3_ZONE1A,2009_4_ZONE1A,23,3,3,1,2009,21,2,4,1,4,3,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,1,0,0,0,1,0,3,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,0,0,1,1,0,0,0,0,0,0
2009_3_ZONE1B,2009_4_ZONE1B,8,0,3,1,2009,21,3,4,3,3,1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,3,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,3,6,0,0,0,0,0,0
2009_3_ZONE3E,2009_4_ZONE3E,87,15,3,1,2009,64,8,3,9,8,7,7,7,49,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,1,6,0,1,0,1,11,1,1,0,1,0,1,0,3,2,2,2,0,0,0,0,0,0,2,0,0,0,0,2,5,1,0,1,0,0,0,0,1,7,13,0,0,10,7,0,0,0,0,0,0
2009_3_ZONE2D,2009_4_ZONE2D,5,0,3,1,2009,9,1,2,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
