Subzone,SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
ZONE1A,21969431.690000005,77,2866,0.481158408999995,0.5188415910000054,1097,0.9671832270000092,0.8304466729999957,0.058340929999999964,2763,0.2642055740000003,0.020991675999999997,0.0,0.03184943900000003,0.02750633399999992,0.735794425999998,905,0.9558011049999912,0.1314917130000013,0.17127071800000135,0.18121546999999885,0.028729282000000116,33,27,40,25994,31089.0,43746,27679,16862
ZONE1B,23308652.29000026,68,3417,0.5750658469999999,0.424934153000003,2025,0.9841975310000046,0.6809876539999967,0.22518518500000076,3295,0.3010622150000015,0.008801214,0.004552352000000001,0.181183611999999,0.04066767799999967,0.6989377849999984,1285,1.0,0.06225680900000053,0.17821011700000153,0.021789883000000163,0.013229572000000129,37,38,34,52050,47114.0,81316,55827,22271
ZONE1C,6501903.90299999,30,626,0.3226837060000003,0.6773162939999957,317,1.0,0.807570978000001,0.16403785499999973,606,0.1452145209999998,0.0445544550000001,0.0,0.023102310000000074,0.0,0.85478547899999,229,1.0,0.29694323100000014,0.056768559000000836,0.16593886500000082,0.021834060999999884,45,37,46,22150,65078.29166999932,18068,34792,14181
ZONE1D,130615765.80000126,182,4522,0.5075187969999952,0.49248120300000464,2366,0.9885883349999895,0.8837700760000065,0.08748943399999892,4358,0.2673244609999996,0.011014227000000128,0.006883891999999935,0.10922441499999992,0.028682882000000017,0.7326755390000085,1657,1.0,0.04224502099999965,0.16656608300000136,0.0645745320000009,0.05069402499999954,31,28,32,33225,35873.0,32084,44433,20857
ZONE2A,67322441.34999934,75,2891,0.5786924939999962,0.42130750600000344,973,1.0,0.8509763619999954,0.12332990800000093,2846,0.16584680299999885,0.0,0.01440618400000009,0.031974700999999724,0.004216444000000027,0.8341531969999932,581,1.0,0.10671256500000066,0.09294320099999927,0.1841652319999989,0.11531841699999895,38,39,37,45937,50703.0,27333,54733,22852
ZONE2B,65803266.70999936,66,4049,0.5065448260000034,0.4934551739999968,2079,0.9706589709999928,0.9037999039999957,0.05531505500000032,3893,0.27870536899999715,0.015155406999999958,0.029026458000000165,0.06267659899999961,0.00770613900000005,0.7212946309999984,1107,0.953026196999998,0.12646793100000045,0.29900632299999935,0.009033424000000047,0.0,30,32,32,74560,55953.0,56630,112939,30678
ZONE2D,96764839.98000059,140,5753,0.481661742,0.518338258,2813,0.9445431920000102,0.8329185919999987,0.09313899800000044,5495,0.287352138000001,0.049135578000000214,0.019108280000000033,0.044585987000000146,0.00782529600000003,0.7126478619999993,1764,0.9535147390000094,0.14285714300000044,0.2743764169999997,0.003968253999999951,0.007936507999999901,34,34,35,71448,74738.0,63880,75549,27722
ZONE3B,27419461.489999812,67,3317,0.4648779020000042,0.5351220979999948,1574,0.9866581960000046,0.8742058450000048,0.09974586999999961,3154,0.31261889699999607,0.03392517400000014,0.014267596999999927,0.04660748299999993,0.02694990500000025,0.6873811030000055,869,0.9838895280000076,0.15880322200000163,0.263521288999999,0.057537399000000204,0.04027617999999968,34,33,35,82265,93336.0,74572,76682,25427
ZONE3C,34888901.64999986,52,2395,0.5031315239999986,0.49686847600000184,1411,0.9567682489999951,0.881644224000009,0.06591070199999972,2317,0.2520500650000021,0.01726370299999998,0.008200259000000038,0.03193785100000015,0.007337074000000047,0.7479499350000047,771,1.0,0.12451361899999867,0.30090791200000244,0.023346304000000234,0.0,41,38,42,104883,103516.0,97813,118667,38067
ZONE3D,72762534.68000026,199,6399,0.47038599800000486,0.5296140019999969,3302,0.9497274380000106,0.8334342819999971,0.06844336799999995,6241,0.331837846000003,0.014741227000000022,0.00656946000000004,0.1735298830000004,0.011216151000000103,0.6681621539999997,2059,0.9645458960000034,0.12336085500000095,0.19961146199999721,0.05293831999999986,0.023797959999999705,32,32,29,51135,70660.0,48053,50309,32859
