Index,Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,ActualBurg,BurgStatus,BurgStatus2,call_ALL_target,call_Burglary_target,call_ALL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,call_Armed subject,call_Assault,call_Burglar alarm,call_Burglary,call_Disturbance,call_Domestic,call_FW FIREWORKS,call_Fight,call_Loitering,call_Message delivery,call_Noise complaint,call_Possible drugs present,call_Prowler,call_Public Intoxication,call_Shots fired,call_Special residence patrol,call_Special watch,call_Stalking,call_Suspicious activity,call_Trespassing,call_Vandalism,call_Welfare check,disp_15-ARREST,disp_66-CANCEL,disp_9-VERBAL,disp_ADV-ADVICE GIVEN,disp_AST-ASSIST,disp_CI-CITY CITATION,disp_CLR-CLEARED BY DISPATCH,disp_CM-CIVIL MATTER,disp_COMP,disp_DISR,disp_Disregard,disp_Domestic Violence Report,disp_FA-FALSE ALARM,disp_FD-FOUNDED ALARM,disp_FI-FIELD INTERVIEW,disp_Gone on Arrival,disp_IRT Report,disp_K9 Report,disp_MC-STATE MISD CITATION,disp_MDT-BOLO'D MDT,disp_MSG-MESSAGE DELIVERED,disp_N25-NO CONTACT,disp_NR-NO REPORT,disp_Other,disp_PR-PROPERTY RETURNED,disp_RES-RESOLVED,disp_RF-REPORT FILED,disp_Runaway juvenile (entered NCIC),disp_SAT-SETTLED AMONG SELVES,disp_TES-TEST,disp_TI -TOW IN,disp_Truancy,disp_VA Hospital Alarm (Fire),SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Workers who travel to work,Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
0,ZONE1A,2009_1,2009_1_ZONE1A,182,7,14,0,21,49,21,21,196,14,56,14,0,7,14,0,35,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21969431.69,77,2866,0.481158409,0.518841591,1097,0.967183227,0.830446673,0.05834093,2763,0.264205574,0.020991676,0,0.031849439,0.027506334,0.735794426,905,0.955801105,0.131491713,0.171270718,0.18121547,0.028729282,33,27,40,25994,31089,43746,27679,16862
1,ZONE1B,2009_1,2009_1_ZONE1B,144,9,18,0,9,63,9,18,153,18,36,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23308652.29,68,3417,0.575065847,0.424934153,2025,0.984197531,0.680987654,0.225185185,3295,0.301062215,0.008801214,0.004552352,0.181183612,0.040667678,0.698937785,1285,1,0.062256809,0.178210117,0.021789883,0.013229572,37,38,34,52050,47114,81316,55827,22271
2,ZONE1C,2009_1,2009_1_ZONE1C,230,30,10,0,10,80,10,20,260,10,40,20,0,10,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6501903.903,30,626,0.322683706,0.677316294,317,1,0.807570978,0.164037855,606,0.145214521,0.044554455,0,0.02310231,0,0.854785479,229,1,0.296943231,0.056768559,0.165938865,0.021834061,45,37,46,22150,65078.29167,18068,34792,14181
3,ZONE1D,2009_1,2009_1_ZONE1D,189,0,18,9,27,63,0,27,189,9,27,18,9,9,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130615765.8,182,4522,0.507518797,0.492481203,2366,0.988588335,0.883770076,0.087489434,4358,0.267324461,0.011014227,0.006883892,0.109224415,0.028682882,0.732675539,1657,1,0.042245021,0.166566083,0.064574532,0.050694025,31,28,32,33225,35873,32084,44433,20857
4,ZONE2A,2009_1,2009_1_ZONE2A,36,4,0,0,4,12,12,4,36,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67322441.35,75,2891,0.578692494,0.421307506,973,1,0.850976362,0.123329908,2846,0.165846803,0,0.014406184,0.031974701,0.004216444,0.834153197,581,1,0.106712565,0.092943201,0.184165232,0.115318417,38,39,37,45937,50703,27333,54733,22852
5,ZONE2B,2009_1,2009_1_ZONE2B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65803266.71,66,4049,0.506544826,0.493455174,2079,0.970658971,0.903799904,0.055315055,3893,0.278705369,0.015155407,0.029026458,0.062676599,0.007706139,0.721294631,1107,0.953026197,0.126467931,0.299006323,0.009033424,0,30,32,32,74560,55953,56630,112939,30678
6,ZONE2D,2009_1,2009_1_ZONE2D,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,96764839.98,140,5753,0.481661742,0.518338258,2813,0.944543192,0.832918592,0.093138998,5495,0.287352138,0.049135578,0.01910828,0.044585987,0.007825296,0.712647862,1764,0.953514739,0.142857143,0.274376417,0.003968254,0.007936508,34,34,35,71448,74738,63880,75549,27722
7,ZONE3B,2009_1,2009_1_ZONE3B,4,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,27419461.49,67,3317,0.464877902,0.535122098,1574,0.986658196,0.874205845,0.09974587,3154,0.312618897,0.033925174,0.014267597,0.046607483,0.026949905,0.687381103,869,0.983889528,0.158803222,0.263521289,0.057537399,0.04027618,34,33,35,82265,93336,74572,76682,25427
8,ZONE3C,2009_1,2009_1_ZONE3C,36,6,6,0,0,0,0,12,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34888901.65,52,2395,0.503131524,0.496868476,1411,0.956768249,0.881644224,0.065910702,2317,0.252050065,0.017263703,0.008200259,0.031937851,0.007337074,0.747949935,771,1,0.124513619,0.300907912,0.023346304,0,41,38,42,104883,103516,97813,118667,38067
9,ZONE3D,2009_1,2009_1_ZONE3D,49,7,0,0,0,14,7,0,63,0,14,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72762534.68,199,6399,0.470385998,0.529614002,3302,0.949727438,0.833434282,0.068443368,6241,0.331837846,0.014741227,0.00656946,0.173529883,0.011216151,0.668162154,2059,0.964545896,0.123360855,0.199611462,0.05293832,0.02379796,32,32,29,51135,70660,48053,50309,32859
