DISP,DISPOSITION
9,9-VERBAL
15,15-ARREST
66,66-CANCEL
69,66-CANCEL
71,FA-FALSE ALARM
73,FA-FALSE ALARM
74,FA-FALSE ALARM
SAT,SAT-SETTLED AMONG SELVES
15-ARREST,15-ARREST
66-CANCEL,66-CANCEL
9-VERBAL,9-VERBAL
ADV,ADV-ADVICE GIVEN
ADV-ADVICE GIVEN,ADV-ADVICE GIVEN
ADV-ADVISE GIVEN,ADV-ADVICE GIVEN
AH,AH
APS,APS
APS- ADULT PROTECTIVE SERVICES,APS- ADULT PROTECTIVE SERVICES
Arrs,15-ARREST
ARST,15-ARREST
AST,AST-ASSIST
AST-ASSIST,AST-ASSIST
CANC,66-CANCEL
CI,CI-CITY CITATION
CI-CITY CITATION,CI-CITY CITATION
CIT,CI-CITY CITATION
CLR,CLR-CLEARED BY DISPATCH
CLR-CLEARED BY DISPATCH,CLR-CLEARED BY DISPATCH
CM,CM-CIVIL MATTER
CM-CIVIL MATTER,CM-CIVIL MATTER
COMP,COMP
CRL -CLEARED BY DISPATCH,CLR-CLEARED BY DISPATCH
CU,CU
DISR,DISR
DVR,Domestic Violence Report
FA,FA-FALSE ALARM
FA-FALSE ALARM,FA-FALSE ALARM
Fals,FA-FALSE ALARM
FC,FC
FD,FD-FOUNDED ALARM
FD-FOUNDED ALARM,FD-FOUNDED ALARM
FI,FI-FIELD INTERVIEW
FI-FIELD INTERVIEW,FI-FIELD INTERVIEW
FUN,FUN
GOA,Gone on Arrival
HDP,NR-NO REPORT
IRT,IRT Report
K9,K9 Report
LF,LF
LS,LS
LZ,LZ
MC,MC-STATE MISD CITATION
MC-STATE MISD CITATION,MC-STATE MISD CITATION
MDT,MDT-BOLO'D MDT
MDT-BOLO'D MDT,MDT-BOLO'D MDT
MSD,MSG-MESSAGE DELIVERED
MSG,MSG-MESSAGE DELIVERED
MSG-MESSAGE DELIVERED,MSG-MESSAGE DELIVERED
N25,N25-NO CONTACT
N25-NO CONTACT,N25-NO CONTACT
NA,Not Advised
NC,N25-NO CONTACT
None,N25-NO CONTACT
NPC,N25-NO CONTACT
NR,NR-NO REPORT
NR-NO REPORT,NR-NO REPORT
NT,NR-NO REPORT
NULL,NULL
OTH,Other
PR,PR-PROPERTY RETURNED
PR-PROPERTY RETURNED,PR-PROPERTY RETURNED
R,RES-RESOLVED
RED-REDIRECTED,RED-REDIRECTED
REPT,RF-REPORT FILED
RES,RES-RESOLVED
RES-RESOLVED,RES-RESOLVED
RF,RF-REPORT FILED
RF-REPORT FILED,RF-REPORT FILED
RJ,Runaway juvenile (entered NCIC)
S9,Disregard
SAT-SETTLED AMONG SELVES,SAT-SETTLED AMONG SELVES
SB,SB
TAS,Taser report
TES,TES-TEST
TES-TEST,TES-TEST
TI,TI -TOW IN
TI -TOW IN,TI -TOW IN
Tick,Tick
TRU,Truancy
Unfo,Unfo
VA,VA Hospital Alarm (Fire)
VP,VP
Warn,9-VERBAL
