ZONE,ZONE5D,ZONE3X,ZONE1D,ZONE5B,ZONE6A,ZONE2C,ZONE3C,ZONE2B,ZONE7B,ZONE7D,ZONE4D,ZONE1A,ZONE1B,ZONE1C,ZONE5C,ZONE5A,ZONE3D,ZONE3E,ZONE3A,ZONE3B,ZONE7A,ZONE7C,ZONE2A,ZONE2D,ZONE4B,ZONE4C,ZONE4A,ZONE6C,ZONE6B
ZONE5D,0,61752.50885,27952.86211,19900.40012,53707.05555,35654.0013,40667.28582,46895.96176,22525.86888,7746.724534,39803.54835,32080.03399,30292.61773,27447.94398,16008.63529,21644.3725,34678.56404,31858.25789,48597.88181,47219.26714,23255.58806,17048.67725,37186.62023,38708.34665,54409.36913,44499.20197,61263.15503,37613.23598,46676.99973
ZONE3X,61752.50885,0,38991.87517,41993.26308,13123.37308,45672.22149,21197.33872,51900.60212,53691.319,57821.14229,32676.64218,32737.53815,32726.95488,36714.1656,46420.47588,40110.98448,28094.2909,29896.99385,13242.7644,15441.36004,44835.742,55945.75803,39515.79331,58418.31296,43731.86705,36752.53272,32365.40902,28707.97478,22778.96795
ZONE1D,27952.86211,38991.87517,0,11908.00676,28114.04553,13406.93212,19171.32744,25792.10749,14787.10212,21532.94873,11871.28135,6326.566288,7993.116351,4269.549039,12819.12727,12851.6225,11732.23014,14754.71233,26271.30328,28054.72454,5958.130244,17173.72225,10994.76894,24712.53123,28753.08451,17447.38708,33403.00262,10791.63848,19519.93658
ZONE5B,19900.40012,41993.26308,11908.00676,0,33912.97688,24570.06846,20825.14348,37160.63945,19157.88151,16151.51312,22763.4746,13320.02237,10741.50567,9138.713476,4759.381157,2481.732459,14873.8532,12259.01631,28780.67548,27962.07403,11519.13022,17757.1248,22902.03329,33863.68889,40630.10219,29140.5158,44013.31922,18753.55049,27609.27578
ZONE6A,53707.05555,13123.37308,28114.04553,33912.97688,0,32971.35649,14521.04349,38778.09899,42309.23527,48648.65903,20025.29223,22306.57681,23442.86392,26793.72555,37756.72131,32564.36434,19044.28534,23207.07866,9307.597112,15340.82921,34071.84175,45282.95595,26824.46055,45538.91123,31015.327,23638.65055,21468.21474,17336.84299,9893.639573
ZONE2C,35654.0013,45672.22149,13406.93212,24570.06846,32971.35649,0,29324.06147,12593.02489,14362.00543,28036.34113,12997.80197,17422.44633,20538.16934,17589.693,23798.03826,25961.01855,22789.48058,27466.54308,34689.59644,38165.67432,13733.86431,19738.28232,6159.230877,12957.20915,18938.47143,11693.55074,28937.25324,18151.01275,23078.38003
ZONE3C,40667.28582,21197.33872,19171.32744,20825.14348,14521.04349,29324.06147,0,39161.84481,33867.26828,36637.23419,17965.75145,12933.23722,11885.89168,16094.31083,25223.26934,19044.24766,7467.537479,9010.003552,7960.885629,8975.629727,24596.93119,35358.0905,23769.04449,42157.37795,35820.51509,24867.7547,31750.02671,11348.32098,13408.02058
ZONE2B,46895.96176,51900.60212,25792.10749,37160.63945,38778.09899,12593.02489,39161.84481,0,24467.10028,39151.68497,21227.73101,28818.35915,32269.28626,29833.18984,36271.81469,38506.70612,33641.63999,39043.12079,42965.93452,47467.62792,26209.85694,30069.87331,15907.82452,11859.28198,12518.2609,15250.73444,26928.86297,27884.66166,29487.6303
ZONE7B,22525.86888,53691.319,14787.10212,19157.88151,42309.23527,14362.00543,33867.26828,24467.10028,0,14790.57348,23419.32826,21113.42028,22196.80157,17939.02171,15774.0491,21470.70385,26399.8035,28137.69054,41057.63,42642.20229,9377.977874,5611.419517,18117.47568,16663.59592,33203.36278,25291.74112,42802.86235,25104.18101,32998.20639
ZONE7D,7746.724534,57821.14229,21532.94873,16151.51312,48648.65903,28036.34113,36637.23419,39151.68497,14790.57348,0,33170.67838,26458.2434,25342.53231,21877.28511,11478.33738,18413.46518,29942.58554,28376.81844,44579.13962,44102.10444,16265.52873,9381.717593,29950.45591,31115.53247,46882.83784,37330.11552,54396.5042,31848.08,40856.84556
ZONE4D,39803.54835,32676.64218,11871.28135,22763.4746,20025.29223,12997.80197,17965.75145,21227.73101,23419.32826,33170.67838,0,10074.05082,13686.00365,13627.78471,24559.34732,22904.47651,13269.3836,19403.78028,22109.61838,26273.68844,16964.83566,27426.75134,6839.473737,25797.65185,19205.68343,7404.11703,21546.50833,6904.684207,10160.94193
ZONE1A,32080.03399,32737.53815,6326.566288,13320.02237,22306.57681,17422.44633,12933.23722,28818.35915,21113.42028,26458.2434,10074.05082,0,3676.829613,4636.862732,16129.15438,13057.19664,5624.679635,10224.78992,19947.01544,21878.65087,12098.27628,23248.51671,12931.21344,29814.92514,29089.40109,17228.69087,30769.11603,5548.405537,14599.78839
ZONE1B,30292.61773,32726.95488,7993.116351,10741.50567,23442.86392,20538.16934,11885.89168,32269.28626,22196.80157,25342.53231,13686.00365,3676.829613,0,4263.859754,14315.23053,9992.617475,4638.493829,6938.451484,19575.60576,20469.85237,12836.65646,23472.25829,16451.20436,32532.50296,32759.971,20897.02967,33937.09217,8284.104297,16902.8644
ZONE1C,27447.94398,36714.1656,4269.549039,9138.713476,26793.72555,17589.693,16094.31083,29833.18984,17939.02171,21877.28511,13627.78471,4636.862732,4263.859754,0,11525.87198,9427.876961,8696.730708,10621.39205,23657.43775,24733.02319,8573.40125,19303.87446,14517.12868,28956.83838,31861.90515,20184.22921,34924.11953,10166.4273,19229.05939
